PM10,PM2.5
38,31
21,16
22,16
20,16
29,22
36,22
58,47
54,34
59,26
31,14
24,12
31,11
16,7
18,7
7,3
13,9
22,15
38,21
48,19
52,20
13,7
34,15
44,20
22,14
13,7
18,11
26,17
30,12
32,14
32,13
34,16
42,23
30,20
31,18
30,18
40,29
55,36
51,34
49,34
29,17
18,10
33,21
38,25
26,18
18,9
12,8
17,13
43,28
51,29
38,23
30,7
24,11
25,13
46,26
53,31
18,9
27,14
24,11
29,12
29,13
40,10
49,17
56,26
41,19
55,23
77,32
61,24
44,20
58,24
47,31
26,17
31,14
61,17
31,14
50,17
33,13
29,15
56,30
48,32
59,34
46,25
57,26
91,22
105,24
60,22
42,22
55,32
88,48
38,19
70,38
57,36
39,32
37,31
31,22
24,19
12,10
63,43
29,14
38,15
54,21
105,27
246,40
197,52
137,46
78,42
59,31
80,34
50,29
31,20
37,21
228,44
140,38
80,26
47,20
26,15
26,18
30,19
36,21
38,20
34,18
28,15
31,17
36,20
43,26
19,13
23,22
33,30
26,21
35,21
40,18
38,18
37,20
31,21
30,23
36,23
56,29
42,20
36,20
25,14
29,18
91,33
145,44
56,22
23,15
29,18
30,20
33,24
17,19
13,16
22,18
24,16
27,17
40,23
29,13
25,13
30,17
27,16
38,25
30,19
20,12
26,17
26,20
26,21
13,8
13,7
27,15
19,10
26,16
25,12
19,7
9,3
11,3
9,3
9,3
15,6
10,6
16,8
15,10
20,15
17,9
30,17
29,18
32,21
26,20
21,9
45,23
40,16
19,10
14,9
23,15
20,10
10,6
22,13
14,6
16,8
35,20
36,15
11,5
24,16
32,21
27,19
25,14
15,9
15,8
18,10
10,4
13,6
24,14
30,23
20,15
23,17
28,18
27,20
18,13
17,11
21,15
17,12
14,6
10,3
8,3
8,3
13,7
18,12
18,9
17,11
13,5
13,4
14,5
15,6
14,9
11,7
24,14
29,24
20,13
6,3
8,6
15,10
15,10
12,8
13,8
6,4
13,6
15,9
20,15
21,17
15,10
14,11
15,9
15,8
11,6
10,6
10,7
10,7
22,17
11,11
7,5
6,6
5,4
5,3
13,6
21,16
18,13
11,5
9,6
13,9
11,6
8,4
4,5
3,3
19,10
25,18
20,15
21,10
11,5
11,7
15,11
18,8
12,7
11,6
11,6
9,6
15,10
16,10
19,14
21,16
20,16
15,14
24,14
24,15
20,14
27,21
14,9
12,6
12,8
24,15
23,18
31,23
37,29
16,11
14,11
15,10
21,14
28,18
35,25
36,25
23,14
15,13
11,6
13,9
9,6
12,9
17,14
21,13
13,10
13,12
12,11
11,10
15,13
27,23
15,12
16,12
32,21
25,18
9,7
15,10
41,21
11,10
11,10
13,11
17,12
22,17
12,10
13,10
11,9
18,15
20,17
14,11
21,17
34,28
62,25
73,26
64,35
43,22
11,8
4,5
11,8
17,12
4,6
7,7
9,6
6,4
9,8
30,23
12,8
12,9
8,7
11,11
21,21
25,19
34,28
40,34
33,27
30,29
11,11
44,31
23,8
32,15
30,18
47,32
69,54
106,84
121,65
90,37
59,30
64,41
54,38
14,7
8,2
12,8
21,13
34,20
49,22
59,25
61,14
25,12
26,11
50,28
26,9
20,8
28,16
37,15
39,9
46,16
37,13
46,11
63,31
40,11
37,14
39,23
59,42
77,54
72,52
60,41
32,16
19,11
41,29
61,47
24,11
31,16
14,4
25,13
46,30
82,57
46,29
39,4
29,11
40,21
42,21
48,24
37,13
37,16
45,25
36,21
36,15
58,7
41,14
71,38
69,43
51,26
67,31
67,30
66,45
99,52
101,47
55,26
35,8
47,11
48,15
61,11
43,14
58,27
86,52
74,50
58,34
58,29
99,27
158,29
102,27
64,15
49,20
72,30
78,34
65,29
88,39
76,40
45,31
45,29
45,28
15,13
54,48
80,50
39,8
58,16
46,19
67,21
283,35
197,32
98,24
57,22
108,34
99,33
39,18
33,18
24,16
59,17
55,14
48,15
51,16
31,16
26,15
37,21
39,19
28,16
38,15
42,20
29,12
35,17
42,22
11,7
14,11
28,22
32,21
49,28
48,28
47,23
50,28
37,23
22,15
37,22
57,31
39,18
35,19
21,14
24,16
89,29
114,36
56,18
39,18
33,15
32,15
27,18
11,8
14,9
33,19
29,15
37,25
34,21
34,16
35,19
32,18
22,14
39,23
24,15
24,13
33,22
22,16
33,21
30,19
31,22
27,19
31,22
23,16
30,18
49,30
38,24
14,9
20,10
30,18
35,23
36,26
22,13
20,14
32,23
31,24
36,27
33,23
22,16
34,22
32,24
27,17
52,29
46,23
15,10
17,10
30,18
20,13
32,20
27,18
17,13
24,19
35,19
33,21
16,9
31,19
62,42
62,46
29,19
14,6
24,12
22,14
15,8
23,13
34,24
32,24
17,11
27,21
29,21
33,24
25,15
24,14
23,14
20,14
10,7
8,4
10,5
8,4
21,13
22,14
30,19
39,26
26,16
19,12
29,18
37,25
37,26
29,21
28,18
24,16
15,10
10,5
21,11
40,26
31,19
16,8
18,10
26,14
29,18
30,15
29,18
22,13
21,11
20,10
20,10
20,11
21,12
30,17
39,26
36,25
32,18
21,15
10,3
11,7
11,7
18,13
25,17
35,23
22,19
12,7
18,11
17,11
10,7
12,7
7,6
11,8
47,34
41,26
28,16
27,11
19,11
18,12
23,14
34,8
22,11
18,12
11,8
13,9
17,13
26,18
27,19
34,24
30,25
26,20
45,22
33,17
33,19
28,21
20,9
18,8
22,13
33,19
34,26
41,30
48,35
23,17
33,23
26,19
42,29
58,42
52,31
40,24
33,21
41,20
14,12
20,12
20,9
24,11
30,17
15,10
20,12
19,13
24,15
26,16
44,29
46,36
17,11
21,15
42,25
30,20
41,25
48,31
85,45
14,10
27,23
39,27
29,21
20,14
16,8
23,13
35,20
35,23
41,26
39,24
57,40
65,19
84,23
75,36
79,35
4,2
7,1
14,4
9,3
4,1
14,7
12,6
15,8
25,13
40,25
18,11
21,10
30,18
31,23
42,32
45,32
62,42
48,35
41,29
39,30
18,13
32,23
11,9
9,7
17,10
50,35
50,37
86,36
64,21
69,25
35,16
19,9
36,22
7,5
19,12
11,7
13,10
12,9
29,17
38,18
73,21
11,5
12,6
23,11
28,15
6,4
13,9
21,10
14,9
33,9
28,11
15,7
32,15
30,17
25,17
22,13
21,16
28,20
25,18
35,24
26,19
7,7
27,21
24,19
28,20
21,14
15,10
13,9
25,18
33,25
23,17
21,9
19,10
13,8
11,9
35,22
24,14
25,16
22,14
11,9
19,12
25,12
23,9
46,20
28,13
37,19
42,20
43,20
30,15
58,27
103,38
44,22
21,7
45,9
27,14
40,11
42,11
33,12
41,15
46,19
43,20
21,14
10,9
94,25
101,22
80,21
23,10
29,12
83,35
60,28
41,17
53,26
37,22
27,14
24,11
13,11
19,16
32,20
22,6
41,8
40,7
19,8
175,22
82,12
59,18
16,7
60,18
76,19
55,17
35,18
32,17
156,26
242,31
69,14
31,12
20,10
22,12
26,14
21,11
17,9
30,10
40,15
27,15
25,13
17,8
21,8
7,6
26,19
22,15
25,18
31,18
28,15
23,10
17,12
22,15
37,25
47,31
33,23
28,20
17,11
20,13
25,17
100,19
84,18
26,11
12,7
18,11
20,9
14,7
4,3
7,7
19,7
22,15
20,11
34,19
18,10
21,13
11,9
20,14
17,11
21,16
14,10
18,14
16,8
14,11
24,18
25,20
24,19
19,14
23,17
30,20
20,8
8,4
14,9
14,9
9,6
9,4
6,4
6,4
8,4
8,4
7,3
20,13
14,10
19,13
13,9
11,7
37,21
26,19
25,21
19,13
19,15
11,8
11,6
12,5
11,3
10,2
9,4
11,4
12,7
10,5
28,17
20,14
13,7
10,4
6,3
11,5
21,14
28,22
31,22
28,22
19,16
15,11
14,9
19,14
15,8
15,9
13,9
11,5
16,11
15,7
12,7
11,6
14,6
20,12
19,12
17,12
16,8
18,8
15,11
13,9
14,11
17,13
22,14
26,21
20,16
10,4
12,8
21,13
21,13
16,9
12,7
15,8
13,7
9,8
10,5
14,6
20,11
21,11
20,11
23,13
15,6
12,5
10,5
14,9
18,12
20,15
13,8
14,8
14,7
7,5
10,4
19,11
21,14
14,7
15,6
16,7
18,6
19,8
20,11
10,7
9,6
28,19
19,14
21,10
13,6
16,9
11,8
17,7
27,11
18,10
13,6
12,7
14,10
22,11
13,7
19,8
17,12
17,12
22,13
19,8
16,9
11,6
12,6
14,6
10,5
19,11
18,13
17,13
23,17
32,19
18,11
18,11
20,12
27,18
19,10
21,10
17,10
21,14
24,16
15,5
14,7
15,9
17,11
11,7
14,8
11,7
11,8
11,7
15,11
22,17
14,8
11,7
21,12
28,15
14,9
12,7
36,22
20,10
11,8
12,8
18,12
34,16
28,17
16,10
14,8
16,10
34,23
22,15
14,10
49,35
48,20
66,17
49,13
53,21
33,15
13,7
16,7
17,10
10,7
9,5
9,6
9,7
9,6
22,14
11,7
12,9
12,8
16,13
29,20
26,19
24,16
31,22
44,33
